requestTime,userIp,x,y,z
2026-04-07 21:00:58.103727200+00:00,::1,97,35,8
2026-04-07 21:00:58.113145700+00:00,::1,96,35,8
2026-04-07 21:00:58.119492700+00:00,::1,94,35,8
2026-04-07 21:00:58.120149+00:00,::1,95,35,8
2026-04-07 21:00:58.127001900+00:00,::1,99,35,8
2026-04-07 21:00:58.313962700+00:00,::1,100,35,8
2026-04-07 21:00:58.316805700+00:00,::1,101,35,8
2026-04-07 21:00:58.316895+00:00,::1,101,37,8
2026-04-07 21:00:58.317364+00:00,::1,101,38,8
2026-04-07 21:00:58.318331100+00:00,::1,49,18,7
2026-04-07 21:00:58.320365800+00:00,::1,50,18,7
2026-04-07 21:00:58.322747900+00:00,::1,50,19,7
2026-04-07 21:00:58.325428300+00:00,::1,47,17,7
2026-04-07 21:00:58.342411600+00:00,::1,49,17,7
2026-04-07 21:00:58.344996+00:00,::1,50,17,7
2026-04-07 21:00:58.862893100+00:00,::1,48,17,7
2026-04-07 21:00:58.909125400+00:00,::1,47,18,7
2026-04-07 21:00:58.918642200+00:00,::1,48,19,7
2026-04-07 21:00:59.088496800+00:00,::1,48,18,7
2026-04-07 21:00:59.099322500+00:00,::1,49,19,7
2026-04-07 21:00:59.256908800+00:00,::1,52,18,7
2026-04-07 21:00:59.270759+00:00,::1,51,19,7
2026-04-07 21:00:59.355304300+00:00,::1,13,6,5
2026-04-07 21:00:59.355304900+00:00,::1,15,4,5
2026-04-07 21:00:59.355321200+00:00,::1,14,4,5
2026-04-07 21:00:59.355848200+00:00,::1,14,6,5
2026-04-07 21:00:59.357504600+00:00,::1,10,6,5
2026-04-07 21:00:59.359688100+00:00,::1,14,3,5
2026-04-07 21:00:59.471240400+00:00,::1,11,5,5
2026-04-07 21:00:59.556809600+00:00,::1,12,6,5
2026-04-07 21:00:59.584711500+00:00,::1,11,3,5
2026-04-07 21:00:59.595610500+00:00,::1,12,3,5
2026-04-07 21:00:59.607460600+00:00,::1,13,5,5
2026-04-07 21:00:59.729097100+00:00,::1,13,4,5
2026-04-07 21:00:59.735655800+00:00,::1,3,1,3
2026-04-07 21:00:59.739517100+00:00,::1,3,0,3
2026-04-07 21:00:59.742336100+00:00,::1,2,0,3
2026-04-07 21:00:59.744795600+00:00,::1,4,0,3
2026-04-07 21:00:59.747220700+00:00,::1,2,1,3
2026-04-07 21:00:59.750113400+00:00,::1,4,1,3
2026-04-07 21:00:59.899862400+00:00,::1,0,0,3
2026-04-07 21:00:59.913274100+00:00,::1,4,2,3
2026-04-07 21:00:59.927189900+00:00,::1,5,1,3
2026-04-07 21:00:59.937444+00:00,::1,1,0,3
